dosya;doc_id;field;mevcut;onerilen;gerekce;kanit
round0_kalibrasyon_B.csv;albaraka--tasit-finansmani-togg-finansmani;finansman_tutari;600.000 TL - 1.700.000 TL;"{""value"": 1700000.0, ""currency"": ""TRY""}";kart §3-4: tutar aralığı, üst sınır alınır (note'a `alt=600000`);Metinde finansman tutarı 600.000 TL ve 1.700.000 TL arasında açıkça belirtilmiş olup metin bunu kaçırmıştır
round0_kalibrasyon_B.csv;kuveyt-turk--altin-hesaplari-altina-altin-katilma-hesabi;vade_ay;1-12 ay;12;kart §3-2: aralık yazılmış, en büyük değer alınır (note'a `aralik=1-12 ay`);Metinde vade seçeneği 1–12 ay aralığı olarak belirtilmiştir.
round0_kalibrasyon_B.csv;kuveyt-turk--kampanya-arsivi-business-plus-karttan-vade-farksiz-3-taksit-imkani;finansman_tutari;10.000₺ ile 50.000₺ arası;"{""value"": 50000.0, ""currency"": ""TRY""}";kart §3-4: tutar aralığı, üst sınır alınır (note'a `alt=10000`);—
round0_kalibrasyon_B.csv;kuveyt-turk--kampanya-arsivi-business-plus-karttan-vade-farksiz-3-taksit-imkani;taksit_sayisi;2 ile 3 taksit arasında;3;kart §3-2: aralık yazılmış, en büyük değer alınır (note'a `aralik=2 ile 3 taksit arasında`);Metinde 2-3 taksit seçeneği açıkça geçiyor, model atlamış
round0_kalibrasyon_B.csv;tom-katilim--hesaplama-araclari;finansman_tutari;"{""currency"": ""TRY"", ""value"": 5000.0-150000.0}";"{""value"": 150000.0, ""currency"": ""TRY""}";kart §3-4: tutar aralığı, üst sınır alınır (note'a `alt=5000`);Metinde finansman tutarı 5000-150000 TL aralığındadır . Model sadece 5000 almıştır
round0_kalibrasyon_B.csv;tom-katilim--hesaplama-araclari;kar_payi_orani;"{""rate"": 3.99}";3.99;kart §2: oran alanı düz sayı alır, `rate` anahtarı yok;—
round0_kalibrasyon_B.csv;tom-katilim--hesaplama-araclari;vade_ay;1-36 ay;36;kart §3-2: aralık yazılmış, en büyük değer alınır (note'a `aralik=1-36 ay`);Metinde vade süresi 1-36 ay belirtilmiş model bunu atlamıştır
round0_kalibrasyon_B.csv;turkiye-emlak-katilim--kampanya-market-alisverislerinize-1500-tl-parafpara-hediye;alisveris_puani;1.500 TL ParafPara;"{""kind"": ""points"", ""value"": 1500.0}";kart §2: `%` yok + `TL` var -> ADET (points), oran değil;—
round0_kalibrasyon_B.csv;turkiye-emlak-katilim--kampanya-market-alisverislerinize-1500-tl-parafpara-hediye;kampanya_suresi;1-31 Temmuz 2026;2026-07-31;kart §3-1: bitiş tarihi alınır (note'a `baslangic=2026-07-01`);Metinde süre olarak 1-31 Temmuz aralığı belirtilmiştir. Model kaçırmıştır
round0_kalibrasyon_B.csv;turkiye-emlak-katilim--kampanya-paraf-ile-hepsiburadada-pesin-fiyatina-9-aya-varan-taksit-firsati;kampanya_suresi;13 Temmuz 2026 tarihine kadar;2026-07-13;kart §3-1: bitiş tarihi alınır;Metinde açıkça 13 Temmuz 2026 tarihine kadar denmiştir model yanılmıştır
